    y_cur      solvent   bio     polymer    osm pressure
    1.0029     .3032     .0229     .6738    -.4805E+00
    1.0324     .3036     .0230     .6734    -.4797E+00
    1.0618     .3045     .0231     .6724    -.4775E+00
    1.0913     .3061     .0232     .6707    -.4738E+00
    1.1207     .3083     .0235     .6683    -.4688E+00
    1.1501     .3110     .0237     .6652    -.4624E+00
    1.1796     .3144     .0241     .6615    -.4547E+00
    1.2090     .3185     .0245     .6570    -.4457E+00
    1.2384     .3232     .0250     .6518    -.4354E+00
    1.2679     .3287     .0255     .6458    -.4238E+00
    1.2973     .3349     .0261     .6390    -.4111E+00
    1.3267     .3418     .0267     .6314    -.3971E+00
    1.3562     .3497     .0274     .6229    -.3819E+00
    1.3856     .3584     .0282     .6134    -.3658E+00
    1.4150     .3681     .0290     .6029    -.3485E+00
    1.4445     .3786     .0299     .5915    -.3305E+00
    1.4739     .3904     .0307     .5789    -.3115E+00
    1.5034     .4033     .0316     .5651    -.2917E+00
    1.5328     .4175     .0325     .5500    -.2713E+00
    1.5622     .4330     .0333     .5336    -.2504E+00
    1.5917     .4502     .0342     .5156    -.2289E+00
    1.6211     .4691     .0349     .4960    -.2071E+00
    1.6505     .4898     .0356     .4746    -.1852E+00
    1.6800     .5126     .0361     .4513    -.1633E+00
    1.7094     .5378     .0363     .4258    -.1416E+00
    1.7388     .5657     .0364     .3979    -.1203E+00
    1.7683     .5966     .0361     .3673    -.9963E-01
    1.7977     .6308     .0355     .3337    -.7989E-01
    1.8271     .6690     .0344     .2966    -.6138E-01
    1.8566     .7114     .0329     .2557    -.4444E-01
    1.8860     .7589     .0309     .2103    -.2949E-01
    1.9155     .8118     .0283     .1599    -.1698E-01
    1.9449     .8709     .0254     .1037    -.7461E-02
    1.9743     .9369     .0221     .0411    -.1538E-02
